,x,x_5,x_4,x_3,x_2,x_1,label,cites,author,title,year,source,publisher,articleurl,citesurl,gsrank,querydate,type,doi,issn,citationurl,volume,issue,startpage,endpage,ecc,citesperyear,citesperauthor,authorcount,age,abstract,fulltexturl,relatedurl,citation,screened_titles,notes,screened_abstracts
51,119,119,119,7096,7096,7096,ref_020,2,IM Gwarzo and MN Adam and NY Wali and SA Ibrahim,"Correlation of anthropometric indices with fasting blood glucose and blood pressure among university students in Kano, Nigeria",2020,Nigerian Journal of Basic …,njbcs.net,https://www.njbcs.net/article.asp?issn=0331-8540;year=2020;volume=17;issue=2;spage=128;epage=134;aulast=Gwarzo,"https://scholar.google.com/scholar?cites=12180111016414577048&as_sdt=2005&sciodt=0,5&hl=en",20,30/07/2021 21:44,HTML,,NA,NA,NA,NA,NA,NA,2,2,1,4,1,"… The study was conducted between September and November, 2019, at the Faculty of Basic Medical Sciences (FBMS), Bayero University, Kano, Nigeria … fasting blood sugar of <100 mg/dl, 100–125 mg/dl and ≥126 mg/dl were considered normal, prediabetes and diabetes …",https://www.njbcs.net/article.asp?issn=0331-8540;year=2020;volume=17;issue=2;spage=128;epage=134;aulast=Gwarzo,"https://scholar.google.com/scholar?q=related:mIE2um9yCKkJ:scholar.google.com/&scioq=prediabetes+nigeria&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2020&as_vis=1","IM Gwarzo et al. (2020) Correlation of Anthropometric Indices with Fasting Blood Glucose and Blood Pressure among University Students in Kano, Nigeria. <i>Nigerian Journal of Basic �</i>. ",selected,NA,selected
52,120,120,120,7106,7106,7106,ref_038,0,BO Akinshipe and EO Yusuf and FO Akinshipe…,Prevalence and Determinants of Pre-diabetes and Latent Tuberculosis Infection Among Apparently Healthy Adults in Three Communities in Southern Nigeria,2019,International …,article.ijimmunol.com,http://article.ijimmunol.com/pdf/10.11648.j.iji.20190702.11.pdf,,38,30/07/2021 21:44,PDF,,NA,NA,NA,NA,NA,NA,0,0,0,4,2,… Tuberculosis Infection Among Apparently Healthy Adults in Three Communities in Southern Nigeria … Prevalence and Determinants of Pre-diabetes and Latent Tuberculosis Infection Among Apparently Healthy Adults in Three Communities in Southern Nigeria …,http://article.ijimmunol.com/pdf/10.11648.j.iji.20190702.11.pdf,"https://scholar.google.com/scholar?q=related:3DVGlCWad94J:scholar.google.com/&scioq=prediabetes+nigeria&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2020&as_vis=1",BO Akinshipe et al. (2019) Prevalence and Determinants of Pre-Diabetes and Latent Tuberculosis Infection among Apparently Healthy Adults in Three Communities in Southern Nigeria. <i>International �</i>. ,selected,NA,selected
53,123,123,123,7756,7756,7756,ref_37,1,S.T. Olatunbosun,Diagnosis and follow-up of subjects with impaired glucose tolerance: How reliable is OGTT? Report from a Nigerian survey,1998,Diabetes Research and Clinical Practice,NA,https://api.elsevier.com/content/article/eid/1-s2.0-S0168822798000710,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032144177&origin=inward,37,30/07/2021 22:34,Article,10.1016/S0168-8227(98)00071-0,0168-8227,https://api.elsevier.com/content/abstract/scopus_id/0032144177,41,2,147,148,1,0.04,1,1,23,NA,NA,NA,S.T. Olatunbosun (1998) Diagnosis and Follow-Up of Subjects with Impaired Glucose Tolerance: How Reliable is Ogtt? Report from a Nigerian Survey. <i>Diabetes Research and Clinical Practice</i>. ,selected,NA,selected
54,124,124,124,7757,7757,7757,ref_19,0,"S T Olatunbosun, P O Ojo, N S Fineberg, A F Bella",Prevalence of diabetes mellitus and impaired glucose tolerance in a group of urban adults in Nigeria.,1998,Journal of the National Medical Association,NA,NA,NA,19,30/07/2021 22:28,Journal Article,,0027-9684,NA,90,5,293,301,0,0,0,4,23,"This survey was undertaken to determine the prevalence of diabetes mellitus and impaired glucose tolerance in a group of urban adults in Ibadan, Nigeria. A total of 998 subjects randomly selected from five main ministries and departments in the Government Secretariat participated in the survey. Each subject was asked to fast overnight and ingested 75 g of glucose dissolved in 250 mL of water after answering a questionnaire. Relevant anthropometric measurements such as weight, height, waist and hip diameters, and blood pressure also were taken. After 2 hours, of blood was drawn and plasma glucose concentration measured. Diagnosis of diabetes or impaired glucose tolerance was based on 1985 World Health Organization (WHO) cut-off values. Blood glucose results were available in 875 subjects. Seven subjects were found to be diabetic for a prevalence of 0.8%, with the majority (5 subjects) being newly diagnosed. Nineteen were found to have impaired glucose tolerance for a prevalence of 2.2%. There were no sex differences between the two groups. All of the newly diagnosed diabetics were asymptomatic. Multivariate analysis revealed that subjects with a family history of diabetes, higher body mass index, and higher systolic blood pressure had higher blood glucose levels. The prevalence of diabetes in this survey is lower than rates reported in recent surveys in Nigeria that used less stringent criteria and different methodologies. The rate is comparable to that of a Tanzanian study that used WHO criteria. However, the rate of impaired glucose tolerance in this study, first to be reported in Nigeria, is lower than that obtained in the Bantu population.",NA,NA,"S T Olatunbosun, P O Ojo, N S Fineberg, A F Bella (1998) Prevalence of Diabetes Mellitus and Impaired Glucose Tolerance in a Group of Urban Adults in Nigeria. <i>Journal of the National Medical Association</i>. ",selected,NA,selected
55,2,2,2,8,8,8,ref_008,4,DP Oparinde and EK Oghagbon and SA Adebisi…,"Oral glucose tolerance test (OGTT) in Ilorin, Nigeria",2006,Tropical Journal of …,ajol.info,https://www.ajol.info/index.php/tjhc/article/view/36692,"https://scholar.google.com/scholar?cites=17168553166396399392&as_sdt=2005&sciodt=0,5&hl=en",8,31/07/2021 8:05,,,NA,NA,NA,NA,NA,NA,4,0.27,1,4,15,"… 216 patients who presented at the Metabolic Clinic of the University of Ilorin Teaching Hospital, Nigeria, between January … Indications were as follows; 34(15.74%) obstetrics, 164 (75.93%) impaired fasting glucose (IFG), 8(3.70%) unexplained retinopathy, 4(1.85%) previous …",https://www.researchgate.net/profile/Simeon-Adebisi/publication/353121840_ORAL_GLUCOSE_TOLERANCE_TEST_OGTT_IN_ILORIN_NIGERIA/links/60e82a69b8c0d5588ce39326/ORAL-GLUCOSE-TOLERANCE-TEST-OGTT-IN-ILORIN-NIGERIA,"https://scholar.google.com/scholar?q=related:IB93ViT0Qu4J:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1","DP Oparinde et al. (2006) Oral Glucose Tolerance Test (Ogtt) in Ilorin, Nigeria. <i>Tropical Journal of �</i>. ",selected,hospital-based,excluded
56,4,4,4,18,18,18,ref_011,74,OA Adegoke and RA Adedoyin and MO Balogun…,Prevalence of metabolic syndrome in a rural community in Nigeria,2010,… syndrome and related …,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/met.2009.0037,"https://scholar.google.com/scholar?cites=14559154169360835853&as_sdt=2005&sciodt=0,5&hl=en",11,30/07/2021 23:01,,10.1089/met.2009.0037,NA,NA,NA,NA,NA,NA,74,6.73,19,4,11,"… of 132 participants from three rural towns in southwestern Nigeria were recruited … Conclusions: These results from a representative sample of the Nigerian rural population … of closely related metabolic and cardiovascular risk factors comprising impaired glucose tolerance, type-2 …",https://ir.oauife.edu.ng/bitstream/handle/123456789/4161/MetabolicSyndromepaper.pdf?sequence=1,"https://scholar.google.com/scholar?q=related:DWXmTpSBDMoJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2012&as_vis=1",OA Adegoke et al. (2010) Prevalence of Metabolic Syndrome in a Rural Community in Nigeria. <i>� Syndrome and Related �</i>. ,selected,prevalence of prediabetes not reported,excluded
57,10,10,10,60,60,60,ref_060,129,AO Ogbera,Prevalence and gender distribution of the metabolic syndrome,2010,Diabetology & Metabolic Syndrome,Springer,https://link.springer.com/article/10.1186/1758-5996-2-1,"https://scholar.google.com/scholar?cites=1126105203729604835&as_sdt=2005&sciodt=0,5&hl=en",60,31/07/2021 8:05,HTML,10.1186/1758-5996-2-1,NA,NA,NA,NA,NA,NA,129,11.73,129,1,11,"… alcohol (HDL), elevated blood pressure and a history of diabetes mellitus or impaired fasting glucose state … In Nigeria, DM is an emerging non-communicable health problem as its prevalence is on the … This pattern of lipid abnormality was documented in a recent Nigerian study [7 …",https://link.springer.com/article/10.1186/1758-5996-2-1,"https://scholar.google.com/scholar?q=related:46AFaLe6oA8J:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1",AO Ogbera (2010) Prevalence and Gender Distribution of the Metabolic Syndrome. <i>Diabetology & Metabolic Syndrome</i>. ,selected,hospital-based study,excluded
58,11,11,11,63,63,63,ref_063,8,"II Ijeh and CECC Ejike, U Okorie",Serum lipid profile and lipid pro-atherogenic indices of a cohort of Nigerian adults with varying glycemic and blood pressure phenotypes,2010,… Journal of Biological and Chemical Sciences,ajol.info,https://www.ajol.info/index.php/ijbcs/article/view/64912,"https://scholar.google.com/scholar?cites=13154876906887255509&as_sdt=2005&sciodt=0,5&hl=en",63,31/07/2021 8:05,,,NA,NA,NA,NA,NA,NA,8,0.73,3,3,11,"… Serum lipid profile and lipid pro-atherogenic indices of a cohort of Nigerian adults with varying glycemic and blood pressure … of Biochemistry, College of Natural and Applied Sciences, Michael Okpara University of Agriculture, Umudike, PMB 7267 Umuahia, Abia State, Nigeria …",https://www.ajol.info/index.php/ijbcs/article/view/64912/52634,"https://scholar.google.com/scholar?q=related:1RUBa9mCj7YJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1",II Ijeh et al. (2010) Serum Lipid Profile and Lipid Pro-Atherogenic Indices of a Cohort of Nigerian Adults with Varying Glycemic and Blood Pressure Phenotypes. <i>� Journal of Biological and Chemical Sciences</i>. ,selected,prevalence of prediabetes not reported,excluded
59,13,13,13,209,209,209,ref_211,2,T DAHIRU,"Cardiovascular Disease Risk Factors Among Adults in Dakace Village, Zaria",2006,PUBLIC HEALTH,dissertation.npmcn.edu.ng,http://www.dissertation.npmcn.edu.ng/index.php/FMCPH/article/view/2411,"https://scholar.google.com/scholar?cites=11449463629698924994&as_sdt=2005&sciodt=0,5&hl=en",211,31/07/2021 8:05,,,NA,NA,NA,NA,NA,NA,2,0.13,2,1,15,"… the second risk factor for CVD identified, as a little over 1 million Nigerians (2.2%) were … communicable diseases survey in Nigeria reported that when both parents are hypertensive or … Investigating the level of heritability of blood pressure among 510 Nigerian nuclear families …",http://www.dissertation.npmcn.edu.ng/index.php/FMCPH/article/download/2411/2494,"https://scholar.google.com/scholar?q=related:woH1ZIKq5J4J:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2010&as_vis=1","T DAHIRU (2006) Cardiovascular Disease Risk Factors among Adults in Dakace Village, Zaria. <i>Public Health</i>. ",selected,prevalence of prediabetes not reported,excluded
60,21,21,21,371,371,371,ref_019,0,EP Odum and EG Asekomeh and EE Young,Cardiovascular Risk in Metabolically Healthy and Unhealthy Obese Nigerians,NA,researchgate.net,,https://www.researchgate.net/profile/Ekenechukwu-Young/publication/271259341_Cardiovascular_Risk_in_Metabolically_Healthy_and_Unhealthy_Obese_Nigerians/links/56dddf8708aed4e2a99c6049/Cardiovascular-Risk-in-Metabolically-Healthy-and-Unhealthy-Obese-Nigerians.pdf,,19,31/07/2021 9:11,PDF,,NA,NA,NA,NA,NA,NA,0,0,0,3,NA,"… hypertension, low HDL and elevated LDL but less with hypercholesterolaemia, raised triglyceride, impaired fasting glucose and type … Obesity and its cardio-metabolic co-morbidities among adult Nigerians in a Primary Care Clinic of a Tertiary Hospital in South-Eastern Nigeria …",https://www.researchgate.net/profile/Ekenechukwu-Young/publication/271259341_Cardiovascular_Risk_in_Metabolically_Healthy_and_Unhealthy_Obese_Nigerians/links/56dddf8708aed4e2a99c6049/Cardiovascular-Risk-in-Metabolically-Healthy-and-Unhealthy-Obese-Nigerians.pdf,"https://scholar.google.com/scholar?q=related:hfjltQMFXV4J:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2011&as_yhi=2015&as_vis=1",EP Odum et al. (NA) Cardiovascular Risk in Metabolically Healthy and Unhealthy Obese Nigerians. <i>Researchgate.net</i>. ,selected,prevalence of prediabetes not reported,excluded
61,23,23,23,373,373,373,ref_021,3,EP Odum and EG Asekomeh and NA Ntuen…,Cardio metabolic risk factors in obese subjects,2014,Journal of Dental and …,researchgate.net,https://www.researchgate.net/profile/Ekenechukwu-Young/publication/271259426_Cardio_metabolic_Risk_Factors_in_Obese_Subjects/links/56dddfb808aed4e2a99c604d/Cardio-metabolic-Risk-Factors-in-Obese-Subjects.pdf,"https://scholar.google.com/scholar?cites=16652427401793216899&as_sdt=2005&sciodt=0,5&hl=en",21,31/07/2021 9:11,PDF,,NA,NA,NA,NA,NA,NA,3,0.43,1,4,7,… Statistically significant P ≤ 0.05; BMI – body mass index; IFG – impaired fasting glucose … adult Nigerians in a Primary Care Clinic of a Tertiary Hospital in South-Eastern Nigeria … prevalence of obesity as indicated by BMI and waist circumference among Nigerian adults attending …,https://www.researchgate.net/profile/Ekenechukwu-Young/publication/271259426_Cardio_metabolic_Risk_Factors_in_Obese_Subjects/links/56dddfb808aed4e2a99c604d/Cardio-metabolic-Risk-Factors-in-Obese-Subjects.pdf,"https://scholar.google.com/scholar?q=related:g6HdW35OGecJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2011&as_yhi=2015&as_vis=1",EP Odum et al. (2014) Cardio Metabolic Risk Factors in Obese Subjects. <i>Journal of Dental and �</i>. ,selected,hospital-based,excluded
62,31,31,31,404,404,404,ref_052,48,OS Ogah and OO Madukwe and UU Onyeonoro…,"Cardiovascular risk factors and non-communicable diseases in Abia state, Nigeria: report of a community-based survey",2013,International Journal of …,ajol.info,https://www.ajol.info/index.php/ijmbr/article/view/91937,"https://scholar.google.com/scholar?cites=7109180373563140483&as_sdt=2005&sciodt=0,5&hl=en",52,31/07/2021 9:11,,,NA,NA,NA,NA,NA,NA,48,6,12,4,8,"… or subject with a fasting plasma glucose of 126mg/dl or more and impaired fasting glucose is defined … of our study population is a true reflection of the demographic structure of Nigeria and Abia … report of the 2006 National census.[10-12] According to this data, 54.6% of Nigerians",https://www.ajol.info/index.php/ijmbr/article/download/91937/88226,"https://scholar.google.com/scholar?q=related:g-loOuLhqGIJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2011&as_yhi=2015&as_vis=1","OS Ogah et al. (2013) Cardiovascular Risk Factors and Non-Communicable Diseases in Abia State, Nigeria: Report of a Community-Based Survey. <i>International Journal of �</i>. ",selected,prevalence of prediabetes not reported,excluded
63,32,32,32,422,422,422,ref_070,57,AR Isara and PO Okundia,The burden of hypertension and diabetes mellitus in rural communities in southern Nigeria,2015,The Pan African Medical Journal,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4458303/,"https://scholar.google.com/scholar?cites=1974051807096177726&as_sdt=2005&sciodt=0,5&hl=en",70,31/07/2021 9:11,HTML,,NA,NA,NA,NA,NA,NA,57,9.5,29,2,6,"… has the highest number of people living with diabetes and impaired fasting glucose (IFG) in … Prevalence of hypertensionin the rural adult population of Osun State, southwestern Nigeria … Prevalence, awareness, treatment and control of hypertension in a Nigerian population …",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4458303/,"https://scholar.google.com/scholar?q=related:PoQv2qg9ZRsJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2011&as_yhi=2015&as_vis=1",AR Isara et al. (2015) The Burden of Hypertension and Diabetes Mellitus in Rural Communities in Southern Nigeria. <i>The Pan African Medical Journal</i>. ,selected,prevalence of prediabetes not reported ,excluded
64,33,33,33,423,423,423,ref_13,0,"E U Nwose, V M Oguoma, P T Bwititi, R S Richards",Metabolic syndrome and prediabetes in ndokwa community of Nigeria: preliminary study.,2015,North American journal of medical sciences,NA,NA,NA,13,30/07/2021 22:26,Journal Article,10.4103/1947-2714.152079,2250-1541,NA,7,2,53,58,0,0,0,4,6,"Global prevalence of metabolic syndrome (MS) and diabetes is increasing, but the reference ranges for MS indices have yet to be established for sub-Saharan African countries. As part of the international research collaboration agenda for Prediabetes and Cardiovascular Complications Study (PACCS), a pilot study was conducted in one of the Ndokwa communities of Nigeria in 2013. The study was to obtain preliminary indication of prevalence and reference values of MS in the rural communities of a low-mid income country. Seventy-four volunteer participants were recruited, after public lectures in high schools and churches in the community. Body mass index (BMI), blood pressure and waist circumference (WC), blood glucoselevel, and lipid profile were measured. Percentage prevalence MS was determined using commonest three criteria (Third Adult Treatment Panel (ATP III) 2001, International Diabetes Federation (IDF) 2005, and World Health Organization (WHO) 1999). When individual indices of MS are considered separately; the males seem healthier than females. However, the prevalence of high-density lipoprotein (HDL) cholesterol was higher in males than in females. Equal 3% prevalence of MS was seen in both genders using the WHO standard. Other criteria show prevalence of 8% females and 11% males (ATP III), 5% females and 8% males (IDF 2005 European), and 14% females and 17% males (IDF 2005 Ethnic). The prevalence of MS is higher in males than females; and relative to ATP III 2001 criteria, either the IDF 2005 European may underestimate MS, or the ethnic specific could overestimate the prevalence. Hence, it is important to define the criteria to be used.",NA,NA,"E U Nwose, V M Oguoma, P T Bwititi, R S Richards (2015) Metabolic Syndrome and Prediabetes in Ndokwa Community of Nigeria: Preliminary Study. <i>North American Journal of Medical Sciences</i>. ",selected,prevalence of prediabetes not reported,excluded
65,36,36,36,478,478,478,ref_126,1,"M Dankyau, O Ae, O Mamven",DIABETES RISK SCORE OF STAFF OF AN URBAN MISSION HOSPITAL IN NIGERIA,2015,International Journal of …,archives.sp.oajour.info,http://www.archives.sp.oajour.info/index.php/ijcbr/article/view/67,"https://scholar.google.com/scholar?cites=8456123863112354050&as_sdt=2005&sciodt=0,5&hl=en",126,31/07/2021 9:11,,,NA,NA,NA,NA,NA,NA,1,0.17,0,3,6,"… K, Yoshida H. Hours of work and the risk of developing impaired fasting glucose or type … Risk of developing diabetes among healthcare workers in a Nigerian tertiary hospital … Community based diabetes risk assessment in Ogun state, Nigeria (World Diabetes Foundation project …",http://www.archives.sp.oajour.info/index.php/ijcbr/article/download/67/94,"https://scholar.google.com/scholar?q=related:AgmE3dkvWnUJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2011&as_yhi=2015&as_vis=1","M Dankyau, O Ae, O Mamven (2015) Diabetes Risk Score of Staff of an Urban Mission Hospital in Nigeria. <i>International Journal of �</i>. ",selected,prevalence of prediabetes not reported,excluded
66,37,37,37,486,486,486,ref_134,31,"BN Okeahialam, C Ogbonna and AE Otokwula…",Cardiovascular epidemiological transition in a rural habitat of Nigeria: the case of Mangu Local Government Area,2012,West African journal of …,ajol.info,https://www.ajol.info/index.php/wajm/article/view/103959,"https://scholar.google.com/scholar?cites=5993012694971061274&as_sdt=2005&sciodt=0,5&hl=en",134,31/07/2021 9:11,,,NA,NA,NA,NA,NA,NA,31,3.44,8,4,9,… of cardiometabloic risk factors among a rural Yoruba South West Nigerian population: a … Gender role differentiation and social mobility of women in Nigeria … and conventional cardiovascular risk factors among hypertensive subjects with normal and impaired fasting glucose …,https://www.ajol.info/index.php/wajm/article/download/103959/94073,"https://scholar.google.com/scholar?q=related:GhQoMkt1K1MJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2011&as_yhi=2015&as_vis=1","BN Okeahialam, C Ogbonna et al. (2012) Cardiovascular Epidemiological Transition in a Rural Habitat of Nigeria: The Case of Mangu Local Government Area. <i>West African Journal of �</i>. ",selected,prevalence of prediabetes not reported,excluded
67,38,38,38,490,490,490,ref_138,9,U Agu and MC Agu and GA Nnaji,"Assessment of risk of developing diabetes mellitus among local government employees in Onitsha, south-eastern Nigeria",2015,Epidemiol Rep,researchgate.net,https://www.researchgate.net/profile/Godswill-Nnaji/publication/283870791_Assessment_of_risk_of_developing_diabetes_mellitus_among_local_government_employees_in_Onitsha_south-eastern_Nigeria/links/5769c99708ae3bf53d332135/Assessment-of-risk-of-developing-diabetes-mellitus-among-local-government-employees-in-Onitsha-south-eastern-Nigeria.pdf,"https://scholar.google.com/scholar?cites=10416578365868697321&as_sdt=2005&sciodt=0,5&hl=en",138,31/07/2021 9:11,PDF,,NA,NA,NA,NA,NA,NA,9,1.5,3,3,6,"… D, Barry MM, Sangare-Bah M and Maugendre D. Diabetes and impaired fasting glucose in rural … of cardiometabolic risk factors among a rural Yoruba south- western Nigerian population: a … of developing type 2 Diabetes over 10 years in communities across Ogun State, Nigeria …",https://www.researchgate.net/profile/Godswill-Nnaji/publication/283870791_Assessment_of_risk_of_developing_diabetes_mellitus_among_local_government_employees_in_Onitsha_south-eastern_Nigeria/links/5769c99708ae3bf53d332135/Assessment-of-risk-of-developing-diabetes-mellitus-among-local-government-employees-in-Onitsha-south-eastern-Nigeria.pdf,"https://scholar.google.com/scholar?q=related:6WafmNUej5AJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2011&as_yhi=2015&as_vis=1","U Agu et al. (2015) Assessment of Risk of Developing Diabetes Mellitus among Local Government Employees in Onitsha, South-Eastern Nigeria. <i>Epidemiol Rep</i>. ",selected,prevalence of prediabetes not reported,excluded
68,39,39,39,501,501,501,ref_041,2,P Ueda,Famine in Nigeria and vitamin D in Sweden: two early life exposures and their relation to cardiovascular risk in adulthood,2013,,openarchive.ki.se,https://openarchive.ki.se/xmlui/handle/10616/41819,"https://scholar.google.com/scholar?cites=14535609621417404027&as_sdt=2005&sciodt=0,5&hl=en",41,31/07/2021 0:50,BOOK,,NA,NA,NA,NA,NA,NA,2,0.25,2,1,8,"… Rural Enugu, Nigeria Page 6. 10 11 … First, the role of severe malnutrition in fe- tal and infant life, for later cardiovascular and metabolic risk is assessed in a Nigerian cohort based on the tragic circumstances during the Biafra famine in the late 1960s … Impaired glucose tolerance …",https://openarchive.ki.se/xmlui/bitstream/handle/10616/41819/Thesis_Peter_Ueda.pdf?sequence=4&isAllowed=y,"https://scholar.google.com/scholar?q=related:e6ZVDvDbuMkJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2014&as_vis=1",P Ueda (2013) Famine in Nigeria and Vitamin d in Sweden: Two Early Life Exposures and their Relation to Cardiovascular Risk in Adulthood. <i></i>. ,selected,prevalence of prediabetes not reported,excluded
69,44,44,44,1064,1064,1064,ref_03,0,Victor M Oguoma and Ezekiel U Nwose and Ifeoma I Ulasi and Adeseye A Akintunde and Ekene E Chukwukelu and Phillip T Bwititi and Ross S Richards and Timothy C Skinner,Cardiovascular disease risk factors in a Nigerian population with impaired fasting blood glucose level and diabetes mellitus.,2017,BMC public health,NA,NA,NA,3,30/07/2021 22:30,Journal Article,10.1186/s12889-016-3910-3,1471-2458,NA,17,1,36,NA,0,0,0,8,4,"Diabetes is a risk factor for cardiovascular diseases (CVDs) and there are reports of increasing prevalence of prediabetes in Nigeria. This study therefore characterised CVDs risk factors in subjects with impaired fasting glucose (IFG) and diabetes. Data from 4 population-based cross-sectional studies on 2447 apparently healthy individuals from 18 - 89 years were analysed. Anthropometric, blood pressure and biochemical parameters were collected and classified. Individuals with IFG (prediabetes) and diabetes were merged each for positive cases of dyslipidaemia, high blood pressure (HBP) or obesity. Optimal Discriminant and Hierarchical Optimal Classification Tree Analysis (HO-CTA) were employed. Overall prevalence of IFG and diabetes were 5.8% (CI: 4.9 - 6.7%) and 3.1% (CI: 2.4 - 3.8%), respectively. IFG co-morbidity with dyslipidaemia (5.0%; CI: 4.1 - 5.8%) was the highest followed by overweight/obese (3.1%; CI: 2.5 - 3.8%) and HBP (1.8%; CI: 1.3 - 2.4%). The predicted age of IFG or diabetes and their co-morbidity with other CVD risk factors were between 40 - 45 years. Elevated blood level of total cholesterol was the most predictive co-morbid risk factor among IFG and diabetes subjects. Hypertriglyceridaemia was an important risk factor among IFG-normocholesterolaemic-overweight/obese individuals. The higher prevalence of co-morbidity of CVD risk factors with IFG than in diabetes plus the similar age of co-morbidity between IFG and diabetes highlights the need for risk assessment models for prediabetes and education of individuals at risk about factors that mitigate development of diabetes and CVDs.",NA,NA,Victor M Oguoma et al. (2017) Cardiovascular Disease Risk Factors in a Nigerian Population with Impaired Fasting Blood Glucose Level and Diabetes Mellitus. <i>Bmc Public Health</i>. ,selected,systematic review,excluded
70,52,52,52,1100,1100,1100,ref_037,1,"TH Raimi and AO Odewabi, O Odusan…","Correlation of Anthropometric Indices and Age with Fasting Plasma Glucose among Inhabitants of Ogun State, South-West Nigeria",2017,Journal of Advances in …,journaljammr.com,http://www.journaljammr.com/index.php/JAMMR/article/view/10177,"https://scholar.google.com/scholar?cites=12032459757457158732&as_sdt=2005&sciodt=0,5&hl=en",37,31/07/2021 9:26,,,NA,NA,NA,NA,NA,NA,1,0.25,0,4,4,"… Previous reports from Nigeria were limited to the association between blood glucose and BMI [16,17 … and type 2 DM, plasma glucose was not available for the Nigerian participants [5 … or abdominal obesity, and plasma glucose described in other ethnic groups valid for Nigerians …",https://www.journaljammr.com/index.php/JAMMR/article/download/10177/18251,"https://scholar.google.com/scholar?q=related:TLJqEWbi-6YJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2018&as_vis=1","TH Raimi et al. (2017) Correlation of Anthropometric Indices and Age with Fasting Plasma Glucose among Inhabitants of Ogun State, South-West Nigeria. <i>Journal of Advances in �</i>. ",selected,prevalence of prediabets not reported,excluded
71,53,53,53,1114,1114,1114,ref_028,21,"AA Sabir, S Balarabe and AA Sani and SA Isezuo, ...",Prevalence of diabetes mellitus and its risk factors among the suburban population of Northwest Nigeria,2017,Sahel Medical …,smjonline.org,https://www.smjonline.org/article.asp?issn=1118-8561;year=2017;volume=20;issue=4;spage=168;epage=172;aulast=Sabir,"https://scholar.google.com/scholar?cites=16374017007041147731&as_sdt=2005&sciodt=0,5&hl=en",28,31/07/2021 5:16,HTML,,NA,NA,NA,NA,NA,NA,21,5.25,4,5,4,"… RT, Ebonyi E, Fakeye T. Prevalence of diabetes mellitus in a rural Nigerian population … S. Type 2 diabetes mellitus and its risk factors among the rural Fulanis of Northern Nigeria … Prevalence of diabetes, impaired fasting glucose, and impaired glucose tolerance in US adults …",https://www.smjonline.org/article.asp?issn=1118-8561;year=2017;volume=20;issue=4;spage=168;epage=172;aulast=Sabir,"https://scholar.google.com/scholar?q=related:U3Pk8rYxPOMJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2017&as_vis=1","AA Sabir, S Balarabe et al. (2017) Prevalence of Diabetes Mellitus and Its Risk Factors among the Suburban Population of Northwest Nigeria. <i>Sahel Medical �</i>. ",selected,prevalence of prediabetes not reported,excluded
